,local_time,temp(C),feels_like(C),humidity(%),weather_description,cloudiness(%),wind_speed(kmph),rain_in_last_3h(mm),snow_in_last_3h(mm),pop(%)(ti_le_co_mua),day_night
0,2023-11-10 01:00:00,26.15,26.15,90,few clouds,24,2.62,0.0,0,0.06,n
1,2023-11-10 04:00:00,25.74,26.73,91,light rain,31,2.05,0.27,0,0.28,n
2,2023-11-10 07:00:00,25.56,26.51,90,light rain,43,1.86,0.35,0,0.36,d
3,2023-11-10 10:00:00,29.36,33.15,69,light rain,79,2.67,0.65,0,0.47,d
4,2023-11-10 13:00:00,30.87,34.65,61,light rain,88,3.52,0.41,0,0.53,d
5,2023-11-10 16:00:00,30.45,34.46,64,light rain,85,4.19,0.16,0,0.21,d
6,2023-11-10 19:00:00,27.2,29.72,77,broken clouds,65,4.73,0.0,0,0.0,n
7,2023-11-10 22:00:00,25.8,26.64,85,clear sky,10,3.63,0.0,0,0.0,n
8,2023-11-11 01:00:00,25.11,26.01,90,scattered clouds,32,2.74,0.0,0,0.0,n
9,2023-11-11 04:00:00,24.68,25.59,92,few clouds,17,2.19,0.0,0,0.0,n
10,2023-11-11 07:00:00,25.22,26.11,89,few clouds,22,2.02,0.0,0,0.0,d
11,2023-11-11 10:00:00,29.68,33.04,65,light rain,67,3.26,0.29,0,0.29,d
12,2023-11-11 13:00:00,31.95,35.12,54,light rain,82,3.5,0.17,0,0.31,d
13,2023-11-11 16:00:00,30.13,33.35,62,overcast clouds,98,3.73,0.0,0,0.09,d
14,2023-11-11 19:00:00,27.6,30.11,73,overcast clouds,96,5.16,0.0,0,0.03,n
15,2023-11-11 22:00:00,26.2,26.2,83,broken clouds,83,3.16,0.0,0,0.05,n
16,2023-11-12 01:00:00,25.71,26.57,86,light rain,90,2.05,0.24,0,0.31,n
17,2023-11-12 04:00:00,25.24,26.05,86,light rain,100,2.72,0.67,0,0.47,n
18,2023-11-12 07:00:00,25.23,25.99,84,light rain,100,2.64,1.14,0,0.56,d
19,2023-11-12 10:00:00,28.82,31.68,67,light rain,97,4.9,1.27,0,0.94,d
20,2023-11-12 13:00:00,28.71,31.31,66,moderate rain,97,4.28,3.69,0,0.97,d
21,2023-11-12 16:00:00,27.31,29.56,73,moderate rain,93,4.69,3.67,0,0.94,d
22,2023-11-12 19:00:00,23.66,24.21,82,light rain,96,4.65,2.2,0,0.93,n
23,2023-11-12 22:00:00,21.26,21.54,81,light rain,100,5.08,0.3,0,0.65,n
24,2023-11-13 01:00:00,19.3,19.44,83,light rain,100,4.93,1.81,0,0.82,n
25,2023-11-13 04:00:00,17.81,17.82,84,light rain,100,4.81,1.81,0,0.86,n
26,2023-11-13 07:00:00,16.56,16.5,86,light rain,100,5.83,2.53,0,0.92,d
27,2023-11-13 10:00:00,15.72,15.55,85,light rain,100,6.74,1.73,0,0.84,d
28,2023-11-13 13:00:00,15.58,15.32,82,light rain,100,6.2,0.53,0,0.93,d
29,2023-11-13 16:00:00,15.1,14.82,83,light rain,100,5.26,0.92,0,0.92,d
30,2023-11-13 19:00:00,15.03,14.71,82,light rain,100,4.12,1.02,0,0.88,n
31,2023-11-13 22:00:00,15.35,15.07,82,light rain,100,3.36,1.11,0,0.64,n
32,2023-11-14 01:00:00,14.95,14.68,84,light rain,100,3.31,1.95,0,0.7,n
33,2023-11-14 04:00:00,15.43,15.15,82,light rain,100,2.99,0.18,0,0.42,n
34,2023-11-14 07:00:00,15.79,15.47,79,overcast clouds,100,2.85,0.0,0,0.18,d
35,2023-11-14 10:00:00,16.32,15.95,75,overcast clouds,100,3.09,0.0,0,0.0,d
36,2023-11-14 13:00:00,17.14,16.72,70,overcast clouds,100,2.87,0.0,0,0.0,d
37,2023-11-14 16:00:00,17.67,17.33,71,overcast clouds,100,2.29,0.0,0,0.0,d
38,2023-11-14 19:00:00,17.13,16.82,74,overcast clouds,100,1.57,0.0,0,0.0,n
39,2023-11-14 22:00:00,17.1,16.78,74,overcast clouds,96,1.49,0.0,0,0.0,n
