,local_time,temp(C),feels_like(C),humidity(%),weather_description,cloudiness(%),wind_speed(kmph),rain_in_last_3h(mm),snow_in_last_3h(mm),pop(%)(ti_le_co_mua),day_night
0,2023-11-10 19:00:00,30.15,35.68,72,broken clouds,66,4.21,0.0,0,0.0,n
1,2023-11-10 22:00:00,28.76,33.08,76,scattered clouds,48,3.54,0.0,0,0.0,n
2,2023-11-11 01:00:00,26.9,29.59,83,scattered clouds,29,2.83,0.0,0,0.0,n
3,2023-11-11 04:00:00,24.62,25.5,91,few clouds,12,2.25,0.0,0,0.0,n
4,2023-11-11 07:00:00,25.16,26.01,88,few clouds,15,1.78,0.0,0,0.0,d
5,2023-11-11 10:00:00,29.84,32.97,63,scattered clouds,30,2.76,0.0,0,0.03,d
6,2023-11-11 13:00:00,31.24,33.99,55,light rain,60,3.13,0.15,0,0.23,d
7,2023-11-11 16:00:00,29.57,32.63,64,overcast clouds,100,3.64,0.0,0,0.1,d
8,2023-11-11 19:00:00,27.29,29.71,75,overcast clouds,98,4.63,0.0,0,0.06,n
9,2023-11-11 22:00:00,26.23,26.23,82,broken clouds,79,2.97,0.0,0,0.27,n
10,2023-11-12 01:00:00,25.43,26.23,85,broken clouds,78,2.34,0.0,0,0.25,n
11,2023-11-12 04:00:00,24.72,25.5,87,broken clouds,60,2.27,0.0,0,0.24,n
12,2023-11-12 07:00:00,24.97,25.73,85,light rain,80,1.57,0.36,0,0.53,d
13,2023-11-12 10:00:00,28.69,31.43,67,light rain,100,3.44,1.2,0,0.95,d
14,2023-11-12 13:00:00,28.25,31.01,70,moderate rain,100,4.67,3.75,0,1.0,d
15,2023-11-12 16:00:00,26.62,26.62,77,moderate rain,98,4.26,4.81,0,1.0,d
16,2023-11-12 19:00:00,23.53,24.12,84,moderate rain,99,5.0,3.07,0,0.99,n
17,2023-11-12 22:00:00,20.94,21.27,84,light rain,100,5.01,1.49,0,0.8,n
18,2023-11-13 01:00:00,19.0,19.16,85,light rain,100,5.72,0.95,0,0.84,n
19,2023-11-13 04:00:00,17.4,17.4,85,light rain,100,5.93,1.5,0,0.99,n
20,2023-11-13 07:00:00,16.71,16.61,84,light rain,100,5.74,1.83,0,0.9,d
21,2023-11-13 10:00:00,16.52,16.35,82,light rain,100,6.19,1.11,0,0.7,d
22,2023-11-13 13:00:00,15.22,15.08,88,moderate rain,100,6.08,7.1,0,0.97,d
23,2023-11-13 16:00:00,14.96,14.72,85,light rain,100,5.16,0.84,0,0.7,d
24,2023-11-13 19:00:00,15.32,15.14,86,light rain,100,3.95,1.02,0,0.94,n
25,2023-11-13 22:00:00,15.24,15.05,86,light rain,100,3.36,0.96,0,0.77,n
26,2023-11-14 01:00:00,15.07,14.89,87,light rain,100,3.27,0.57,0,0.7,n
27,2023-11-14 04:00:00,15.24,15.05,86,light rain,100,3.13,0.11,0,0.38,n
28,2023-11-14 07:00:00,15.65,15.42,83,overcast clouds,100,2.75,0.0,0,0.1,d
29,2023-11-14 10:00:00,16.32,16.03,78,overcast clouds,100,2.97,0.0,0,0.0,d
30,2023-11-14 13:00:00,17.91,17.62,72,overcast clouds,100,2.85,0.0,0,0.0,d
31,2023-11-14 16:00:00,18.78,18.55,71,overcast clouds,97,3.02,0.0,0,0.0,d
32,2023-11-14 19:00:00,17.96,17.81,77,overcast clouds,98,2.13,0.0,0,0.0,n
33,2023-11-14 22:00:00,17.88,17.72,77,overcast clouds,100,1.85,0.0,0,0.0,n
34,2023-11-15 01:00:00,17.73,17.55,77,overcast clouds,100,1.95,0.0,0,0.0,n
35,2023-11-15 04:00:00,17.71,17.56,78,overcast clouds,100,1.68,0.0,0,0.0,n
36,2023-11-15 07:00:00,18.09,17.95,77,overcast clouds,100,1.3,0.0,0,0.0,d
37,2023-11-15 10:00:00,20.35,20.18,67,overcast clouds,100,1.78,0.0,0,0.0,d
38,2023-11-15 13:00:00,23.69,23.67,60,overcast clouds,96,2.11,0.0,0,0.0,d
39,2023-11-15 16:00:00,24.55,24.61,60,broken clouds,80,1.98,0.0,0,0.0,d
