,local_time,temp(C),feels_like(C),humidity(%),weather_description,cloudiness(%),wind_speed(kmph),rain_in_last_3h(mm),snow_in_last_3h(mm),pop(%)(ti_le_co_mua),day_night
0,2023-11-10 19:00:00,31.35,37.08,66,broken clouds,81,5.18,0.0,0,0.02,n
1,2023-11-10 22:00:00,28.54,32.72,77,scattered clouds,34,3.94,0.0,0,0.09,n
2,2023-11-11 01:00:00,25.46,26.37,89,clear sky,7,3.2,0.0,0,0.16,n
3,2023-11-11 04:00:00,24.93,25.84,91,few clouds,17,2.62,0.0,0,0.04,n
4,2023-11-11 07:00:00,25.36,26.26,89,few clouds,17,2.42,0.0,0,0.07,d
5,2023-11-11 10:00:00,30.22,33.53,62,light rain,29,3.37,0.18,0,0.35,d
6,2023-11-11 13:00:00,32.26,34.96,51,broken clouds,54,3.66,0.0,0,0.03,d
7,2023-11-11 16:00:00,30.26,33.4,61,overcast clouds,98,4.71,0.0,0,0.02,d
8,2023-11-11 19:00:00,27.51,29.94,73,overcast clouds,93,5.3,0.0,0,0.02,n
9,2023-11-11 22:00:00,26.2,26.2,83,broken clouds,70,3.36,0.0,0,0.08,n
10,2023-11-12 01:00:00,25.58,26.45,87,light rain,85,2.13,0.21,0,0.34,n
11,2023-11-12 04:00:00,24.64,25.47,89,light rain,100,2.44,0.83,0,0.26,n
12,2023-11-12 07:00:00,24.96,25.72,85,light rain,100,2.09,0.82,0,0.5,d
13,2023-11-12 10:00:00,28.88,31.64,66,light rain,100,4.13,0.59,0,0.84,d
14,2023-11-12 13:00:00,29.01,31.56,64,light rain,100,4.44,2.14,0,1.0,d
15,2023-11-12 16:00:00,27.71,30.1,71,light rain,91,4.94,2.98,0,0.99,d
16,2023-11-12 19:00:00,24.84,25.53,83,moderate rain,86,4.03,3.69,0,0.99,n
17,2023-11-12 22:00:00,21.58,21.92,82,light rain,100,5.48,0.2,0,0.48,n
18,2023-11-13 01:00:00,19.45,19.55,81,light rain,100,5.59,0.93,0,0.6,n
19,2023-11-13 04:00:00,17.63,17.57,82,light rain,100,5.39,1.72,0,0.73,n
20,2023-11-13 07:00:00,17.04,16.85,79,light rain,100,5.63,1.56,0,0.79,d
21,2023-11-13 10:00:00,16.05,15.92,85,moderate rain,100,6.04,3.5,0,0.88,d
22,2023-11-13 13:00:00,15.41,15.16,83,light rain,100,6.48,0.8,0,0.9,d
23,2023-11-13 16:00:00,15.13,14.8,81,light rain,100,5.28,0.42,0,0.65,d
24,2023-11-13 19:00:00,15.1,14.79,82,light rain,100,4.19,0.26,0,0.54,n
25,2023-11-13 22:00:00,15.58,15.29,81,light rain,100,3.35,0.14,0,0.41,n
26,2023-11-14 01:00:00,15.37,15.06,81,overcast clouds,100,3.1,0.0,0,0.2,n
27,2023-11-14 04:00:00,15.36,15.03,80,overcast clouds,100,2.84,0.0,0,0.06,n
28,2023-11-14 07:00:00,15.64,15.33,80,overcast clouds,100,2.64,0.0,0,0.0,d
29,2023-11-14 10:00:00,16.27,15.92,76,overcast clouds,100,3.12,0.0,0,0.0,d
30,2023-11-14 13:00:00,19.13,18.83,67,overcast clouds,97,3.55,0.0,0,0.0,d
31,2023-11-14 16:00:00,19.39,19.12,67,broken clouds,84,3.48,0.0,0,0.0,d
32,2023-11-14 19:00:00,17.88,17.61,73,overcast clouds,88,2.39,0.0,0,0.0,n
33,2023-11-14 22:00:00,17.9,17.64,73,overcast clouds,100,1.98,0.0,0,0.0,n
34,2023-11-15 01:00:00,17.69,17.43,74,overcast clouds,100,2.09,0.0,0,0.0,n
35,2023-11-15 04:00:00,17.53,17.26,74,overcast clouds,100,1.89,0.0,0,0.0,n
36,2023-11-15 07:00:00,17.93,17.64,72,overcast clouds,98,1.33,0.0,0,0.0,d
37,2023-11-15 10:00:00,21.59,21.38,61,broken clouds,72,1.67,0.0,0,0.0,d
38,2023-11-15 13:00:00,24.37,24.34,57,broken clouds,72,2.27,0.0,0,0.0,d
39,2023-11-15 16:00:00,24.87,24.91,58,scattered clouds,50,1.78,0.0,0,0.0,d
