,local_time,temp(C),feels_like(C),humidity(%),weather_description,cloudiness(%),wind_speed(kmph),rain_in_last_3h(mm),snow_in_last_3h(mm),pop(%)(ti_le_co_mua),day_night
0,2023-11-05 01:00:00,26.15,26.15,92,light rain,41,3.04,0.13,0,0.2,n
1,2023-11-05 04:00:00,25.57,26.6,93,light rain,59,2.33,0.42,0,0.28,n
2,2023-11-05 07:00:00,25.47,26.41,90,light rain,62,2.49,0.37,0,0.32,d
3,2023-11-05 10:00:00,29.02,32.78,71,light rain,79,2.75,0.52,0,0.39,d
4,2023-11-05 13:00:00,31.37,35.47,60,light rain,86,3.66,0.37,0,0.35,d
5,2023-11-05 16:00:00,30.14,33.79,64,light rain,93,3.68,0.11,0,0.22,d
6,2023-11-05 19:00:00,27.42,30.07,76,overcast clouds,90,4.25,0.0,0,0.17,n
7,2023-11-05 22:00:00,25.85,26.72,86,broken clouds,63,3.24,0.0,0,0.02,n
8,2023-11-06 01:00:00,25.11,26.04,91,light rain,65,2.3,0.22,0,0.23,n
9,2023-11-06 04:00:00,24.5,25.42,93,light rain,87,1.87,1.51,0,0.4,n
10,2023-11-06 07:00:00,24.98,25.84,89,light rain,89,1.78,2.02,0,0.59,d
11,2023-11-06 10:00:00,29.13,32.12,66,moderate rain,91,2.58,4.53,0,0.76,d
12,2023-11-06 13:00:00,31.6,34.68,55,moderate rain,92,2.83,3.04,0,0.84,d
13,2023-11-06 16:00:00,27.72,30.23,72,moderate rain,100,3.84,4.71,0,0.94,d
14,2023-11-06 19:00:00,25.59,26.28,80,light rain,100,4.14,2.96,0,0.98,n
15,2023-11-06 22:00:00,23.89,24.57,86,light rain,100,2.47,1.8,0,0.93,n
16,2023-11-07 01:00:00,23.28,23.95,88,light rain,100,2.5,1.3,0,1.0,n
17,2023-11-07 04:00:00,23.03,23.65,87,light rain,100,2.53,0.42,0,0.7,n
18,2023-11-07 07:00:00,23.19,23.77,85,overcast clouds,100,2.2,0.0,0,0.47,d
19,2023-11-07 10:00:00,24.4,24.94,79,overcast clouds,100,2.17,0.0,0,0.06,d
20,2023-11-07 13:00:00,25.44,25.98,75,overcast clouds,100,1.8,0.0,0,0.18,d
21,2023-11-07 16:00:00,26.05,26.65,75,overcast clouds,96,1.27,0.0,0,0.22,d
22,2023-11-07 19:00:00,25.1,25.79,82,overcast clouds,95,1.3,0.0,0,0.22,n
23,2023-11-07 22:00:00,24.55,25.29,86,light rain,100,2.25,0.25,0,0.32,n
24,2023-11-08 01:00:00,23.99,24.73,88,light rain,95,2.03,0.19,0,0.2,n
25,2023-11-08 04:00:00,23.55,24.3,90,broken clouds,81,1.41,0.0,0,0.05,n
26,2023-11-08 07:00:00,24.11,24.81,86,broken clouds,76,0.9,0.0,0,0.01,d
27,2023-11-08 10:00:00,27.14,29.24,73,overcast clouds,91,1.15,0.0,0,0.35,d
28,2023-11-08 13:00:00,30.81,33.61,57,light rain,61,1.89,0.16,0,0.67,d
29,2023-11-08 16:00:00,29.77,32.84,63,light rain,74,3.75,0.99,0,0.69,d
30,2023-11-08 19:00:00,26.76,26.76,79,light rain,73,3.96,0.3,0,0.63,n
31,2023-11-08 22:00:00,25.29,26.16,88,broken clouds,61,3.08,0.0,0,0.18,n
32,2023-11-09 01:00:00,24.41,25.32,93,light rain,52,2.53,0.65,0,0.37,n
33,2023-11-09 04:00:00,23.97,24.84,93,light rain,61,2.4,0.99,0,0.6,n
34,2023-11-09 07:00:00,24.43,25.24,89,light rain,57,2.38,0.29,0,0.58,d
35,2023-11-09 10:00:00,28.92,32.04,68,light rain,41,3.02,0.15,0,0.29,d
36,2023-11-09 13:00:00,31.7,34.88,55,light rain,46,3.46,0.4,0,0.45,d
37,2023-11-09 16:00:00,28.78,31.92,69,broken clouds,83,4.74,0.0,0,0.07,d
38,2023-11-09 19:00:00,26.8,26.8,77,broken clouds,81,4.72,0.0,0,0.04,n
39,2023-11-09 22:00:00,25.37,26.25,88,few clouds,15,3.05,0.0,0,0.03,n
