,local_time,temp(C),feels_like(C),humidity(%),weather_description,cloudiness(%),wind_speed(kmph),rain_in_last_3h(mm),snow_in_last_3h(mm),pop(%)(ti_le_co_mua),day_night
0,2023-11-05 22:00:00,27.15,30.27,84,broken clouds,76,3.37,0.0,0,0.0,n
1,2023-11-06 01:00:00,26.47,26.47,86,broken clouds,69,2.96,0.0,0,0.0,n
2,2023-11-06 04:00:00,25.56,26.45,88,light rain,79,1.95,0.16,0,0.25,n
3,2023-11-06 07:00:00,25.21,26.02,86,overcast clouds,86,2.04,0.0,0,0.35,d
4,2023-11-06 10:00:00,29.74,32.4,61,light rain,85,2.57,0.19,0,0.49,d
5,2023-11-06 13:00:00,32.16,34.29,49,light rain,92,2.65,0.14,0,0.5,d
6,2023-11-06 16:00:00,30.92,33.39,55,light rain,97,2.07,0.22,0,0.74,d
7,2023-11-06 19:00:00,26.75,26.75,77,moderate rain,98,3.01,4.85,0,0.9,n
8,2023-11-06 22:00:00,24.71,25.41,84,moderate rain,91,2.65,3.33,0,0.87,n
9,2023-11-07 01:00:00,23.55,24.17,85,light rain,89,2.55,0.9,0,0.93,n
10,2023-11-07 04:00:00,23.19,23.77,85,light rain,95,2.38,0.33,0,0.69,n
11,2023-11-07 07:00:00,23.44,23.97,82,overcast clouds,96,2.23,0.0,0,0.46,d
12,2023-11-07 10:00:00,25.63,26.14,73,overcast clouds,98,1.82,0.0,0,0.13,d
13,2023-11-07 13:00:00,26.92,28.55,69,overcast clouds,99,1.37,0.0,0,0.35,d
14,2023-11-07 16:00:00,28.2,30.39,66,overcast clouds,99,3.32,0.0,0,0.32,d
15,2023-11-07 19:00:00,25.28,25.91,79,light rain,86,4.09,0.16,0,0.24,n
16,2023-11-07 22:00:00,24.29,24.98,85,broken clouds,64,2.79,0.0,0,0.13,n
17,2023-11-08 01:00:00,23.85,24.6,89,broken clouds,57,1.72,0.0,0,0.05,n
18,2023-11-08 04:00:00,23.87,24.62,89,broken clouds,77,1.96,0.0,0,0.01,n
19,2023-11-08 07:00:00,24.09,24.79,86,broken clouds,83,1.81,0.0,0,0.01,d
20,2023-11-08 10:00:00,27.96,30.45,70,broken clouds,75,2.34,0.0,0,0.1,d
21,2023-11-08 13:00:00,31.08,34.13,57,light rain,69,2.65,0.49,0,0.5,d
22,2023-11-08 16:00:00,29.33,32.52,66,light rain,85,3.56,0.36,0,0.47,d
23,2023-11-08 19:00:00,27.24,29.61,75,light rain,76,4.55,0.13,0,0.3,n
24,2023-11-08 22:00:00,25.5,26.34,86,few clouds,11,3.33,0.0,0,0.0,n
25,2023-11-09 01:00:00,24.85,25.73,90,few clouds,20,2.62,0.0,0,0.0,n
26,2023-11-09 04:00:00,24.3,25.2,93,broken clouds,55,1.72,0.0,0,0.04,n
27,2023-11-09 07:00:00,24.87,25.77,91,scattered clouds,38,1.33,0.0,0,0.03,d
28,2023-11-09 10:00:00,29.61,32.71,64,light rain,55,2.69,0.1,0,0.29,d
29,2023-11-09 13:00:00,31.59,34.66,55,broken clouds,73,3.21,0.0,0,0.43,d
30,2023-11-09 16:00:00,29.34,32.91,68,overcast clouds,100,4.07,0.0,0,0.1,d
31,2023-11-09 19:00:00,27.14,29.68,78,broken clouds,65,4.31,0.0,0,0.05,n
32,2023-11-09 22:00:00,25.8,26.67,86,scattered clouds,29,3.28,0.0,0,0.0,n
33,2023-11-10 01:00:00,25.13,26.09,92,scattered clouds,35,2.44,0.0,0,0.0,n
34,2023-11-10 04:00:00,24.64,25.6,94,light rain,47,1.87,0.71,0,0.47,n
35,2023-11-10 07:00:00,25.32,26.24,90,light rain,60,2.15,0.71,0,0.51,d
36,2023-11-10 10:00:00,29.09,32.75,70,light rain,77,2.59,0.62,0,0.41,d
37,2023-11-10 13:00:00,30.72,34.33,61,light rain,82,2.72,0.69,0,0.53,d
38,2023-11-10 16:00:00,29.21,32.82,69,light rain,97,3.4,0.18,0,0.38,d
39,2023-11-10 19:00:00,27.13,29.57,77,light rain,93,4.37,0.11,0,0.29,n
