,local_time,temp(C),feels_like(C),humidity(%),weather_description,cloudiness(%),wind_speed(kmph),rain_in_last_3h(mm),snow_in_last_3h(mm),pop(%)(ti_le_co_mua),day_night
0,2023-11-07 22:00:00,23.4,23.84,79,broken clouds,71,2.46,0.0,0,0.0,n
1,2023-11-08 01:00:00,23.18,23.68,82,broken clouds,54,1.92,0.0,0,0.0,n
2,2023-11-08 04:00:00,22.94,23.52,86,scattered clouds,35,0.81,0.0,0,0.0,n
3,2023-11-08 07:00:00,23.75,24.31,82,broken clouds,64,1.48,0.0,0,0.0,d
4,2023-11-08 10:00:00,27.62,29.42,66,broken clouds,58,1.53,0.0,0,0.0,d
5,2023-11-08 13:00:00,29.83,32.02,58,broken clouds,66,2.35,0.0,0,0.0,d
6,2023-11-08 16:00:00,29.36,31.71,61,overcast clouds,89,2.59,0.0,0,0.0,d
7,2023-11-08 19:00:00,27.01,29.17,75,overcast clouds,85,3.62,0.0,0,0.0,n
8,2023-11-08 22:00:00,25.25,26.06,86,broken clouds,60,3.29,0.0,0,0.0,n
9,2023-11-09 01:00:00,24.42,25.3,92,light rain,68,1.9,0.18,0,0.2,n
10,2023-11-09 04:00:00,23.97,24.86,94,light rain,97,1.84,0.54,0,0.36,n
11,2023-11-09 07:00:00,24.51,25.38,91,light rain,85,2.13,0.14,0,0.23,d
12,2023-11-09 10:00:00,29.14,32.32,67,light rain,51,2.55,0.58,0,0.54,d
13,2023-11-09 13:00:00,31.61,34.7,55,light rain,60,3.03,0.53,0,0.76,d
14,2023-11-09 16:00:00,29.71,32.91,64,overcast clouds,100,3.74,0.0,0,0.17,d
15,2023-11-09 19:00:00,27.35,29.83,75,broken clouds,84,4.0,0.0,0,0.07,n
16,2023-11-09 22:00:00,25.72,26.55,85,clear sky,7,3.48,0.0,0,0.0,n
17,2023-11-10 01:00:00,25.08,25.98,90,clear sky,5,2.94,0.0,0,0.0,n
18,2023-11-10 04:00:00,24.53,25.45,93,light rain,27,2.0,0.12,0,0.2,n
19,2023-11-10 07:00:00,25.16,26.01,88,light rain,54,2.29,0.23,0,0.36,d
20,2023-11-10 10:00:00,27.34,30.01,77,light rain,98,2.28,0.13,0,0.45,d
21,2023-11-10 13:00:00,31.16,35.02,60,light rain,89,2.43,0.56,0,0.58,d
22,2023-11-10 16:00:00,28.74,32.17,71,light rain,88,4.26,0.13,0,0.32,d
23,2023-11-10 19:00:00,27.24,29.7,76,broken clouds,76,4.04,0.0,0,0.0,n
24,2023-11-10 22:00:00,25.58,26.4,85,clear sky,6,3.75,0.0,0,0.0,n
25,2023-11-11 01:00:00,24.86,25.74,90,clear sky,4,2.87,0.0,0,0.0,n
26,2023-11-11 04:00:00,24.35,25.23,92,few clouds,21,2.32,0.0,0,0.03,n
27,2023-11-11 07:00:00,24.88,25.73,89,few clouds,20,2.12,0.0,0,0.03,d
28,2023-11-11 10:00:00,29.59,32.67,64,broken clouds,79,3.01,0.0,0,0.0,d
29,2023-11-11 13:00:00,31.42,34.57,56,light rain,87,3.36,0.16,0,0.24,d
30,2023-11-11 16:00:00,29.55,32.78,65,overcast clouds,94,4.23,0.0,0,0.04,d
31,2023-11-11 19:00:00,27.33,29.69,74,broken clouds,78,4.18,0.0,0,0.01,n
32,2023-11-11 22:00:00,26.0,26.86,85,broken clouds,61,3.23,0.0,0,0.01,n
33,2023-11-12 01:00:00,25.58,26.45,87,light rain,80,2.97,0.55,0,0.27,n
34,2023-11-12 04:00:00,24.88,25.73,89,light rain,83,2.12,0.45,0,0.39,n
35,2023-11-12 07:00:00,25.01,25.8,86,light rain,92,2.06,0.83,0,0.43,d
36,2023-11-12 10:00:00,29.12,32.1,66,light rain,64,3.52,1.24,0,0.89,d
37,2023-11-12 13:00:00,29.6,32.69,64,light rain,68,4.81,2.04,0,0.97,d
38,2023-11-12 16:00:00,28.25,31.01,70,light rain,76,5.12,2.59,0,0.94,d
39,2023-11-12 19:00:00,25.13,25.85,83,moderate rain,64,3.62,3.27,0,0.9,n
