,local_time,temp(C),feels_like(C),humidity(%),weather_description,cloudiness(%),wind_speed(kmph),rain_in_last_3h(mm),snow_in_last_3h(mm),pop(%)(ti_le_co_mua),day_night
0,2023-11-08 19:00:00,27.87,29.72,65,overcast clouds,93,4.54,0.0,0,0.0,n
1,2023-11-08 22:00:00,26.33,26.33,77,broken clouds,60,3.64,0.0,0,0.0,n
2,2023-11-09 01:00:00,24.63,25.51,91,broken clouds,58,2.27,0.0,0,0.0,n
3,2023-11-09 04:00:00,24.17,25.08,94,light rain,45,1.72,0.19,0,0.2,n
4,2023-11-09 07:00:00,24.74,25.6,90,light rain,35,1.52,0.16,0,0.32,d
5,2023-11-09 10:00:00,29.41,32.68,66,light rain,43,2.86,0.23,0,0.4,d
6,2023-11-09 13:00:00,32.19,35.08,52,light rain,55,3.04,0.38,0,0.52,d
7,2023-11-09 16:00:00,29.62,32.92,65,overcast clouds,97,4.23,0.0,0,0.13,d
8,2023-11-09 19:00:00,27.38,29.89,75,overcast clouds,87,4.85,0.0,0,0.12,n
9,2023-11-09 22:00:00,25.82,26.66,85,few clouds,21,3.75,0.0,0,0.08,n
10,2023-11-10 01:00:00,25.05,25.95,90,few clouds,17,2.54,0.0,0,0.05,n
11,2023-11-10 04:00:00,24.5,25.39,92,broken clouds,66,2.04,0.0,0,0.0,n
12,2023-11-10 07:00:00,25.13,26.01,89,light rain,74,2.02,0.12,0,0.2,d
13,2023-11-10 10:00:00,27.5,30.35,77,light rain,95,2.83,0.38,0,0.38,d
14,2023-11-10 13:00:00,30.85,34.85,62,light rain,95,2.87,0.7,0,0.65,d
15,2023-11-10 16:00:00,30.28,33.87,63,light rain,98,3.6,0.38,0,0.6,d
16,2023-11-10 19:00:00,27.32,29.97,77,broken clouds,73,4.08,0.0,0,0.12,n
17,2023-11-10 22:00:00,25.76,26.62,86,few clouds,16,3.53,0.0,0,0.0,n
18,2023-11-11 01:00:00,25.06,25.96,90,few clouds,14,2.9,0.0,0,0.0,n
19,2023-11-11 04:00:00,24.68,25.51,89,scattered clouds,48,2.79,0.0,0,0.18,n
20,2023-11-11 07:00:00,25.26,26.07,86,broken clouds,59,2.59,0.0,0,0.03,d
21,2023-11-11 10:00:00,29.54,32.76,65,light rain,50,3.18,0.2,0,0.22,d
22,2023-11-11 13:00:00,31.39,34.51,56,light rain,64,2.73,0.95,0,0.41,d
23,2023-11-11 16:00:00,29.84,32.97,63,light rain,95,3.73,0.18,0,0.23,d
24,2023-11-11 19:00:00,27.31,29.75,75,overcast clouds,87,4.8,0.0,0,0.19,n
25,2023-11-11 22:00:00,25.84,26.66,84,scattered clouds,40,3.1,0.0,0,0.19,n
26,2023-11-12 01:00:00,25.28,26.09,86,light rain,34,2.38,0.23,0,0.31,n
27,2023-11-12 04:00:00,24.36,25.16,89,light rain,27,1.89,0.39,0,0.4,n
28,2023-11-12 07:00:00,24.79,25.53,85,light rain,55,1.81,0.76,0,0.58,d
29,2023-11-12 10:00:00,28.78,31.76,68,light rain,63,4.35,1.49,0,0.91,d
30,2023-11-12 13:00:00,28.09,30.57,69,moderate rain,79,4.59,3.34,0,0.96,d
31,2023-11-12 16:00:00,26.36,26.36,77,moderate rain,97,4.85,3.19,0,0.88,d
32,2023-11-12 19:00:00,22.95,23.43,82,light rain,97,5.03,1.52,0,0.88,n
33,2023-11-12 22:00:00,20.75,21.06,84,light rain,100,5.24,0.64,0,0.8,n
34,2023-11-13 01:00:00,19.5,19.66,83,light rain,100,5.15,0.98,0,0.86,n
35,2023-11-13 04:00:00,18.15,18.2,84,light rain,100,4.59,1.99,0,0.91,n
36,2023-11-13 07:00:00,17.19,17.14,84,light rain,100,4.98,1.18,0,0.93,d
37,2023-11-13 10:00:00,16.67,16.57,84,light rain,100,5.01,1.32,0,0.93,d
38,2023-11-13 13:00:00,16.49,16.35,83,light rain,100,4.68,0.68,0,0.83,d
39,2023-11-13 16:00:00,15.96,15.84,86,light rain,100,4.25,1.4,0,0.78,d
