,local_time,temp(C),feels_like(C),humidity(%),weather_description,cloudiness(%),wind_speed(kmph),rain_in_last_3h(mm),snow_in_last_3h(mm),pop(%)(ti_le_co_mua),day_night
0,2023-11-09 19:00:00,28.15,31.51,75,broken clouds,60,4.12,0.0,0,0.0,n
1,2023-11-09 22:00:00,27.43,30.41,79,scattered clouds,42,3.37,0.0,0,0.05,n
2,2023-11-10 01:00:00,26.19,26.19,87,light rain,28,2.44,0.14,0,0.25,n
3,2023-11-10 04:00:00,25.16,26.09,91,light rain,72,2.27,0.32,0,0.4,n
4,2023-11-10 07:00:00,25.36,26.29,90,light rain,72,2.48,0.45,0,0.36,d
5,2023-11-10 10:00:00,29.42,33.28,69,light rain,92,3.31,0.77,0,0.42,d
6,2023-11-10 13:00:00,30.24,34.0,64,light rain,94,3.7,0.68,0,0.47,d
7,2023-11-10 16:00:00,30.54,34.42,63,light rain,84,4.23,0.13,0,0.24,d
8,2023-11-10 19:00:00,27.18,29.67,77,broken clouds,59,4.69,0.0,0,0.0,n
9,2023-11-10 22:00:00,25.8,26.67,86,clear sky,10,3.43,0.0,0,0.0,n
10,2023-11-11 01:00:00,25.18,26.09,90,few clouds,23,2.86,0.0,0,0.0,n
11,2023-11-11 04:00:00,24.71,25.62,92,few clouds,15,2.37,0.0,0,0.08,n
12,2023-11-11 07:00:00,25.2,26.11,90,few clouds,24,2.48,0.0,0,0.08,d
13,2023-11-11 10:00:00,30.11,33.31,62,light rain,62,3.65,0.1,0,0.21,d
14,2023-11-11 13:00:00,32.08,34.63,51,broken clouds,74,3.68,0.0,0,0.22,d
15,2023-11-11 16:00:00,29.73,32.95,64,overcast clouds,100,4.27,0.0,0,0.05,d
16,2023-11-11 19:00:00,27.65,30.32,74,overcast clouds,96,4.87,0.0,0,0.02,n
17,2023-11-11 22:00:00,26.21,26.21,83,overcast clouds,88,3.34,0.0,0,0.11,n
18,2023-11-12 01:00:00,25.5,26.34,86,light rain,81,2.52,0.29,0,0.35,n
19,2023-11-12 04:00:00,24.77,25.59,88,light rain,50,2.13,0.73,0,0.43,n
20,2023-11-12 07:00:00,25.03,25.82,86,light rain,50,2.49,1.26,0,0.51,d
21,2023-11-12 10:00:00,28.97,31.81,66,light rain,43,4.56,2.65,0,0.91,d
22,2023-11-12 13:00:00,28.59,31.24,67,moderate rain,67,4.23,3.11,0,0.99,d
23,2023-11-12 16:00:00,27.82,30.31,71,moderate rain,81,4.98,4.69,0,0.93,d
24,2023-11-12 19:00:00,24.52,25.18,83,moderate rain,78,3.9,3.77,0,0.93,n
25,2023-11-12 22:00:00,21.41,21.73,82,light rain,100,5.02,0.6,0,0.73,n
26,2023-11-13 01:00:00,19.27,19.4,83,light rain,100,5.43,1.64,0,0.88,n
27,2023-11-13 04:00:00,17.52,17.48,83,light rain,100,5.58,1.51,0,0.77,n
28,2023-11-13 07:00:00,16.56,16.42,83,light rain,100,6.37,2.63,0,0.9,d
29,2023-11-13 10:00:00,16.23,16.03,82,light rain,100,6.45,1.51,0,0.78,d
30,2023-11-13 13:00:00,15.5,15.23,82,light rain,100,5.69,1.24,0,0.85,d
31,2023-11-13 16:00:00,14.95,14.68,84,light rain,100,5.12,1.66,0,0.99,d
32,2023-11-13 19:00:00,14.76,14.55,87,light rain,100,4.24,1.88,0,1.0,n
33,2023-11-13 22:00:00,14.8,14.59,87,moderate rain,100,4.03,3.42,0,0.8,n
34,2023-11-14 01:00:00,14.82,14.59,86,light rain,100,3.93,0.54,0,0.85,n
35,2023-11-14 04:00:00,15.16,14.91,84,overcast clouds,100,3.55,0.0,0,0.06,n
36,2023-11-14 07:00:00,15.33,15.02,81,overcast clouds,100,3.5,0.0,0,0.0,d
37,2023-11-14 10:00:00,16.13,15.82,78,overcast clouds,100,3.42,0.0,0,0.0,d
38,2023-11-14 13:00:00,17.25,16.97,75,overcast clouds,100,3.39,0.0,0,0.0,d
39,2023-11-14 16:00:00,18.22,17.88,69,overcast clouds,100,3.04,0.0,0,0.0,d
